timestamp,serial,grid_purchase,grid_feedin,direct_consumption,date,hour,is_highest_grid_feed
2023-05-22 23:57:00+00:00,970568993,21.0,0.0,0,2023-05-22,23,False
2023-05-22 03:57:00+00:00,1057045008,24.0,0.0,0,2023-05-22,3,False
2023-05-22 22:12:00+00:00,2105167400,31.0,0.0,0,2023-05-22,22,False
2023-05-22 03:13:00+00:00,1711356005,0.0,67.0,0,2023-05-22,3,False
2023-05-22 03:06:00+00:00,1135739597,14753.0,0.0,0,2023-05-22,3,False
2023-05-22 23:00:00+00:00,1083091999,5742.0,0.0,0,2023-05-22,23,False
2023-05-22 19:33:00+00:00,1654624404,134.0,0.0,0,2023-05-22,19,False
2023-05-22 21:11:00+00:00,2105167400,31.0,0.0,0,2023-05-22,21,False
2023-05-22 03:35:00+00:00,1654624404,0.0,1002.0,0,2023-05-22,3,False
2023-05-22 19:23:00+00:00,517262015,30.0,0.0,0,2023-05-22,19,False
2023-05-22 20:45:00+00:00,1083091999,6817.0,0.0,0,2023-05-22,20,False
2023-05-22 19:39:00+00:00,1083091999,7456.0,0.0,0,2023-05-22,19,False
2023-05-22 21:29:00+00:00,517262015,1041.0,0.0,0,2023-05-22,21,False
2023-05-22 20:02:00+00:00,1057045008,30.0,0.0,0,2023-05-22,20,False
2023-05-22 21:59:00+00:00,1057045008,30.0,0.0,0,2023-05-22,21,False
2023-05-22 19:55:00+00:00,1028817402,0.0,0.0,0,2023-05-22,19,False
2023-05-22 22:45:00+00:00,1028817402,0.0,0.0,0,2023-05-22,22,False
2023-05-22 23:48:00+00:00,517262015,31.0,0.0,0,2023-05-22,23,False
2023-05-22 21:36:00+00:00,517262015,836.0,0.0,0,2023-05-22,21,False
2023-05-22 21:00:00+00:00,1083091999,8680.0,0.0,0,2023-05-22,21,False
2023-05-22 22:31:00+00:00,1135739597,30671.0,0.0,0,2023-05-22,22,False
2023-05-22 22:46:00+00:00,1057045008,24.0,0.0,0,2023-05-22,22,False
2023-05-22 22:47:00+00:00,2105167400,31.0,0.0,0,2023-05-22,22,False
2023-05-22 22:31:00+00:00,970568993,28.0,0.0,0,2023-05-22,22,False
2023-05-22 00:43:00+00:00,1654624404,0.0,787.0,0,2023-05-22,0,False
2023-05-22 22:45:00+00:00,517262015,26.0,0.0,0,2023-05-22,22,False
2023-05-22 23:05:00+00:00,1083091999,3234.0,0.0,0,2023-05-22,23,False
2023-05-22 21:54:00+00:00,970568993,379.0,0.0,0,2023-05-22,21,False
2023-05-22 00:59:00+00:00,1083091999,4382.0,0.0,0,2023-05-22,0,False
2023-05-22 22:56:00+00:00,1028817402,0.0,0.0,0,2023-05-22,22,False
2023-05-22 22:43:00+00:00,1654624404,116.0,0.0,0,2023-05-22,22,False
2023-05-22 21:51:00+00:00,1559834999,80.0,0.0,0,2023-05-22,21,False
2023-05-22 21:52:00+00:00,1559834999,88.0,0.0,0,2023-05-22,21,False
2023-05-22 19:37:00+00:00,1057045008,17.0,0.0,0,2023-05-22,19,False
2023-05-22 03:45:00+00:00,1559834999,0.0,2633.0,0,2023-05-22,3,False
2023-05-22 23:40:00+00:00,1559834999,29.0,0.0,0,2023-05-22,23,False
2023-05-22 21:20:00+00:00,1028817402,0.0,0.0,0,2023-05-22,21,False
2023-05-22 23:20:00+00:00,1057045008,29.0,0.0,0,2023-05-22,23,False
2023-05-22 20:42:00+00:00,1654624404,68.0,0.0,0,2023-05-22,20,False
2023-05-22 19:01:00+00:00,517262015,29.0,0.0,0,2023-05-22,19,False
2023-05-22 20:03:00+00:00,970568993,458.0,0.0,0,2023-05-22,20,False
2023-05-22 20:14:00+00:00,1771861586,0.0,0.0,0,2023-05-22,20,False
2023-05-22 22:24:00+00:00,1771861586,0.0,0.0,0,2023-05-22,22,False
2023-05-22 22:09:00+00:00,1559834999,135.0,0.0,0,2023-05-22,22,False
2023-05-22 19:08:00+00:00,2105167400,31.0,0.0,0,2023-05-22,19,False
2023-05-22 19:13:00+00:00,1028817402,0.0,0.0,0,2023-05-22,19,False
2023-05-22 23:43:00+00:00,1057045008,29.0,0.0,0,2023-05-22,23,False
2023-05-22 19:28:00+00:00,1711356005,141.0,0.0,0,2023-05-22,19,False
2023-05-22 21:30:00+00:00,1028817402,0.0,0.0,0,2023-05-22,21,False
2023-05-22 22:14:00+00:00,1771861586,0.0,0.0,0,2023-05-22,22,False
2023-05-22 23:07:00+00:00,1057045008,24.0,0.0,0,2023-05-22,23,False
2023-05-22 20:50:00+00:00,1135739597,6579.0,0.0,0,2023-05-22,20,False
2023-05-22 03:42:00+00:00,1028817402,0.0,0.0,0,2023-05-22,3,False
2023-05-22 23:04:00+00:00,970568993,23.0,0.0,0,2023-05-22,23,False
2023-05-22 00:06:00+00:00,1559834999,2031.0,0.0,0,2023-05-22,0,False
2023-05-22 00:40:00+00:00,1057045008,21.0,0.0,0,2023-05-22,0,False
2023-05-22 22:09:00+00:00,1771861586,0.0,0.0,0,2023-05-22,22,False
2023-05-22 23:13:00+00:00,1057045008,15.0,0.0,0,2023-05-22,23,False
2023-05-22 19:51:00+00:00,1057045008,26.0,0.0,0,2023-05-22,19,False
2023-05-22 22:40:00+00:00,1028817402,0.0,0.0,0,2023-05-22,22,False
2023-05-22 23:05:00+00:00,1654624404,62.0,0.0,0,2023-05-22,23,False
2023-05-22 22:49:00+00:00,517262015,41.0,0.0,0,2023-05-22,22,False
2023-05-22 21:20:00+00:00,1654624404,64.0,0.0,0,2023-05-22,21,False
2023-05-22 20:10:00+00:00,1028817402,0.0,0.0,0,2023-05-22,20,False
2023-05-22 00:38:00+00:00,1028817402,0.0,0.0,0,2023-05-22,0,False
2023-05-22 23:57:00+00:00,517262015,17.0,0.0,0,2023-05-22,23,False
2023-05-22 21:33:00+00:00,1711356005,394.0,0.0,0,2023-05-22,21,False
2023-05-22 23:23:00+00:00,1083091999,3439.0,0.0,0,2023-05-22,23,False
2023-05-22 03:19:00+00:00,1654624404,0.0,1153.0,0,2023-05-22,3,False
2023-05-22 19:56:00+00:00,1028817402,0.0,0.0,0,2023-05-22,19,False
